DateTime:,20180428_11:44:04

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
20641,60,344,1
Control,Long
win_size,210
stride,90
start_time,1,2,3,4,5,6,7,8,9,10

Time,Epoch #,Epoch Time,Train Accuracy1,Train Cost1,Train Accuracy2,Train Cost2,Train Accuracy3,Train Cost3,Train Accuracy4,Train Cost4,Train Accuracy5,Train Cost5,Train Accuracy6,Train Cost6,Train Accuracy7,Train Cost7,Train Accuracy8,Train Cost8,Train Accuracy9,Train Cost9,Train Accuracy10,Train Cost10
20180428_11:59:53,0,333.5386610031128,0.86719960868358614,25.895072132349014,0.86676356196403503,25.592546910047531,0.86545542180538182,26.309751778841019,0.85838177601496379,28.126830726861954,0.86235464711984,26.812808305025101,0.84835270245869954,29.60020649433136,0.84762595891952519,29.433339893817902,0.82999030152956643,32.957352072000504,0.83706394235293069,32.792612344026566,0.83231588105360665,33.059627830982208
Test Accuracy :,0.68420502638591363,0.67427765295992481,0.66748523956319561,0.68796697842102517,0.6869742410784262,0.68692199174460522,0.6860860024034694,0.68180155703014789,0.67109044359684411,0.66994095825278233
20180428_13:46:53,10,247.10407996177673,0.87204457223415377,24.037005662918091,0.86879844665527339,24.971579223871231,0.86574611961841585,26.412260830402374,0.86206394731998448,26.943358331918716,0.86584301988283796,25.983672082424164,0.85639534195264178,28.060240268707275,0.84588177104791007,30.483743041753769,0.84089146355787914,31.03047052025795,0.8366278936465581,32.223375260829926,0.83730619053045907,32.286553949117661
20180428_14:27:57,20,246.72520089149475,0.87417635718981423,23.581381350755692,0.88023256063461308,22.648307770490646,0.86574612061182654,25.972379148006439,0.86230619649092355,27.252481698989868,0.8662306169668833,26.725112587213516,0.85707363585631058,27.368043184280396,0.84844960172971084,29.332639813423157,0.8394864241282145,31.043546587228775,0.8469476640224457,30.80130460858345,0.84127905964851379,31.23154005408287
20180428_15:08:53,30,246.67834901809692,0.8711240301529567,24.872347503900528,0.87553294599056242,23.735987514257431,0.87199612259864812,24.734416246414185,0.86831395030021663,25.628906071186066,0.86661821305751796,25.842328876256943,0.86361433565616608,27.088771015405655,0.84350774188836419,30.426823288202286,0.84680231710275011,29.682277143001556,0.84408913850784306,30.681248128414154,0.84001936813195544,31.527403056621552
20180428_15:49:53,40,246.73311018943787,0.87771317958831785,23.776722222566605,0.88168604969978337,22.661654770374298,0.87713178396224978,23.442397147417068,0.86477712690830233,26.310002058744431,0.87407945692539213,24.690282374620438,0.85823642710844672,28.28963240981102,0.85397286117076876,27.990940660238266,0.84854650100072226,29.764642119407654,0.84903099735577903,29.237477719783783,0.84728680948416391,30.373645216226578
20180428_16:30:57,50,246.09613680839539,0.88527132272720332,21.269304737448692,0.8754360477129618,24.369342997670174,0.8788759708404541,23.391270458698273,0.87233527004718781,25.087460190057755,0.87747093141078947,24.220813423395157,0.86899224519729612,25.67743045091629,0.85712208648522692,27.994197487831116,0.85218022366364798,29.037423402070999,0.85271316766738892,29.074173152446747,0.85416665772597,28.772158414125443
20180428_17:12:00,60,246.7073950767517,0.8815407007932663,22.480225577950478,0.88280039131641386,22.357016682624817,0.88052325844764712,23.276416301727295,0.87974806427955632,23.630037724971771,0.87354651093482971,24.159460216760635,0.86807170212268825,25.902227222919464,0.85886627237002056,27.926101624965668,0.85605619351069129,28.35072186589241,0.85702518522739413,28.28795450925827,0.85169572532176974,28.881734013557434
20180428_17:53:04,70,247.42998909950256,0.89113372862339024,21.521955952048302,0.89127907653649652,20.891453728079796,0.88459302783012395,22.172845363616943,0.88081395626068115,23.035830408334732,0.88144380152225499,22.830001145601273,0.87088178098201752,24.941366851329803,0.86453487873077395,25.96630135178566,0.85775193075338996,28.334690898656845,0.8560561925172806,28.182889699935913,0.85576549470424657,27.893900036811829
20180428_18:34:12,80,246.24400091171265,0.89384690821170809,19.735499083995819,0.89825582404931381,19.256856948137283,0.88372093439102173,22.39856281876564,0.88323643803596497,22.11986893415451,0.88987403810024257,21.173885822296143,0.87364341020584102,25.579282701015472,0.86734495759010311,26.135613322257996,0.85973836580912277,27.271227031946182,0.86899224519729612,25.783252328634262,0.86593991915384927,26.79679811000824
20180428_19:16:12,90,253.08737301826477,0.89244186878204346,20.938166826963425,0.89898256957530975,19.062739044427872,0.89365310966968536,20.812466815114021,0.88963178992271419,21.332333326339722,0.88633721470832827,22.518485799431801,0.87989341318607328,23.312275588512421,0.87693798542022705,23.861559689044952,0.86545542279879251,26.879169583320618,0.86472867727279668,26.467238038778305,0.86690891087055211,26.709644019603729
20180428_19:58:36,100,246.54264116287231,0.89975776374340055,19.002598956227303,0.89849807222684219,19.245009869337082,0.89602714180946352,20.250337615609169,0.89389535685380295,20.859049156308174,0.88846899867057805,21.448178216814995,0.87858527302742007,24.187122493982315,0.87490310072898869,24.516840592026711,0.87146317660808559,24.93742698431015,0.87034883598486579,25.15834778547287,0.87252906858921053,25.301654100418091
Test Accuracy :,0.67082919692773912,0.67668112231569044,0.67965933434348713,0.68133131302575889,0.6752181409687027,0.67783060765975234,0.67124719159830715,0.67192643293798004,0.66889597157636238,0.67124719159830715
20180428_21:48:54,110,247.05429601669312,0.89486434956391647,19.918649941682816,0.89588179290294645,20.046676903963089,0.89389535784721375,20.593660786747932,0.89321706295013426,20.900766268372536,0.89123062789440155,21.044540643692017,0.88531977236270909,22.086262300610542,0.87974806427955632,23.748183131217957,0.86608526706695554,26.026985645294189,0.87233527004718781,24.758846789598465,0.87107557952404024,25.638741165399551
20180428_22:29:53,120,245.79615783691406,0.91036822994550071,17.027622684836388,0.89849807222684219,19.625429287552834,0.90247094035148623,19.431714490056038,0.90029070874055228,19.52059181034565,0.89888567030429845,19.91239458322525,0.88827520012855532,21.447474420070648,0.88091085553169246,23.003483086824417,0.86652131378650665,26.326174557209015,0.87742248177528381,24.463134258985519,0.87592054406801856,24.220398664474487
20180428_23:10:49,130,245.70297002792358,0.90959303875764208,16.846738249063492,0.9058139671881994,18.254442259669304,0.8997093141078949,19.607333540916443,0.89123062789440155,21.49316044151783,0.88909884393215177,22.183242633938789,0.89156977534294124,20.863234043121338,0.88023256063461308,22.969407066702843,0.87606589198112483,24.088908463716507,0.88134690225124357,23.341169849038124,0.87892442146937055,23.778300702571869
20180428_23:51:43,140,245.39263701438904,0.90993218620618188,17.44270259141922,0.9078004012505213,17.519601106643677,0.89801357587178543,19.566170364618301,0.89297481377919519,20.582365646958351,0.89660853743553159,20.391188681125641,0.88895349502563481,21.267882362008095,0.88250969350337982,22.569905608892441,0.87514534890651707,24.791709661483765,0.88149225115776064,23.16755798459053,0.87984496355056763,23.471677899360657
20180429_00:32:41,150,246.72489500045776,0.90717055698235827,17.569197133183479,0.90571706791718798,18.219268783926964,0.90377908249696093,18.651438310742378,0.89752908051013947,20.067572236061096,0.89050388336181641,21.454922571778297,0.88590116798877716,22.58067412674427,0.8874031066894531,21.595402598381042,0.87877907156944279,24.196136116981506,0.88531977236270909,22.469136327505112,0.87916666865348814,23.963369160890579
20180429_01:13:34,160,245.73477411270142,0.91749032139778142,15.875908195972443,0.9046996265649796,18.753286987543106,0.91022288401921592,17.332602649927139,0.90184109807014468,19.335313156247139,0.90411823093891142,18.70120307803154,0.89772287905216219,19.689029946923256,0.8904069830973943,21.239541411399841,0.88178294897079468,23.03125374019146,0.8807655066251755,23.4917131960392,0.88115310370922084,23.121714442968369
20180429_01:54:59,170,253.64105081558228,0.92369187374909723,14.402767464518547,0.91468024651209512,16.307219982147217,0.91225776672363279,16.751419827342033,0.90644381244977312,17.833563193678856,0.90116280317306519,19.762343809008598,0.8997093131144841,19.14845335483551,0.89195737242698669,20.569049373269081,0.88444767892360687,22.353943824768066,0.88018411099910732,23.025285139679909,0.88250969350337982,23.160983890295029
20180429_02:37:02,180,250.89549803733826,0.91724807918071749,15.541224256157875,0.91584303875764206,16.032412216067314,0.90455427765846252,18.874797344207764,0.91124032437801361,16.844588294625282,0.90164729952812195,19.097852930426598,0.90087210536003115,19.024257689714432,0.89733528196811674,19.618376553058624,0.89031008481979368,20.922021448612213,0.88837209939956663,22.233302339911461,0.88435077965259556,22.330636322498322
20180429_03:18:14,190,245.08554315567017,0.92243218223253887,14.751882612705231,0.92010660171508785,14.943636313080788,0.90886629422505694,17.628309473395348,0.90954458713531494,17.339702695608139,0.90770350197951,18.078388124704361,0.90242249369621275,18.737565651535988,0.89418605566024778,20.36611633002758,0.8877422541379929,21.970797926187515,0.88696705996990199,22.504468068480492,0.88943799138069157,21.567251056432724
