DateTime:,20180418_19:32:07

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
20641,60,344,1
Control,Long
win_size,90
stride,70
start_time,1,2,3,4,5,6,7,8,9,10

Time,Epoch #,Epoch Time,Train Accuracy1,Train Cost1,Train Accuracy2,Train Cost2,Train Accuracy3,Train Cost3,Train Accuracy4,Train Cost4,Train Accuracy5,Train Cost5,Train Accuracy6,Train Cost6,Train Accuracy7,Train Cost7,Train Accuracy8,Train Cost8,Train Accuracy9,Train Cost9,Train Accuracy10,Train Cost10
20180418_19:47:28,0,295.80481600761414,0.073934108996763823,445.33801078796387,0.10469961357302963,495.95100212097168,0.10140503879326085,513.03878211975098,0.11366279108139375,514.35612869262695,0.10804263575312992,522.81308507919312,0.10334302365469436,545.40501642227173,0.10058139606068532,546.972083568573,0.11017441926524044,563.02510070800781,0.10673449573417505,564.44927406311035,0.10043604702223093,603.78294515609741
Test Accuracy :,0.18214117769998434,0.27477924656460628,0.24609436229688073,0.28198965463190345,0.27571973457338417,0.25654422906107949,0.25842520507863526,0.26495637180625947,0.27347301321908146,0.23695072887820681
20180418_21:10:59,10,186.28583407402039,0.4586724817752838,121.21969246864319,0.52393411546945567,107.59232699871063,0.51385659625132873,110.54269599914551,0.5146802390615145,111.27667760848999,0.51264535635709763,110.74272072315216,0.50310077965259548,114.7022066116333,0.49612403362989427,116.63711726665497,0.50518411248922346,115.36228454113007,0.4959302340944608,117.01597654819489,0.49854651441176734,116.5385627746582
20180418_21:41:50,20,184.48817086219788,0.56419574022293095,91.123729348182678,0.60605619847774506,83.288338661193848,0.60038759410381315,85.177308678627014,0.59481588204701741,86.784717559814453,0.59055231312910716,87.253486394882202,0.59050387144088745,87.781456112861633,0.57291666269302366,92.478188276290894,0.58057169715563461,90.713172912597656,0.57548449039459226,91.704337239265442,0.57572673757870996,91.951311230659485
20180418_22:12:38,30,186.64522099494934,0.61211239993572231,77.910895466804504,0.64384690622488661,73.008425831794739,0.65009690721829727,73.46525251865387,0.64161822299162552,75.394201755523682,0.63827519913514452,76.050482273101807,0.63338178594907124,77.394362449645996,0.61875000099341071,80.240260720252991,0.6206879814465841,79.538303136825562,0.61729650894800825,80.738448023796082,0.61249999503294628,82.423369407653809
20180418_22:43:31,40,185.22917103767395,0.65968993107477825,68.595847368240356,0.6822674413522084,64.511501014232635,0.67063953777154284,68.061851978302002,0.66787790854771933,68.335765898227692,0.67088179488976796,69.035204708576202,0.65591086049874625,71.450966715812683,0.64680233299732204,73.010617077350616,0.65290698607762654,72.636068224906921,0.64864341517289481,73.396752715110779,0.63890504141648607,75.184723854064941
20180418_23:14:27,50,186.03099584579468,0.68071705500284829,63.949966073036194,0.70121123095353444,58.930338621139526,0.69617247581481934,61.738093793392181,0.69205425977706914,63.088672339916229,0.68599806527296703,64.760262310504913,0.68498062392075854,64.627006649971008,0.67848837077617641,66.817979991436005,0.67340116997559862,68.511908173561096,0.66661822199821474,67.731296360492706,0.67025194565455115,69.299472987651825
20180418_23:45:26,60,185.45036101341248,0.70382751524448395,58.577005505561829,0.72194766700267787,55.391641974449158,0.71632750928401945,57.471128463745117,0.71414727965990699,57.907101213932037,0.70092053612073257,60.649775683879852,0.69883720278739925,60.326918244361877,0.68953488369782767,64.36039525270462,0.68846899271011353,65.105652868747711,0.68667636116345721,65.066514909267426,0.68154070079326634,65.715698063373566
20180419_00:16:23,70,185.58642482757568,0.71434107820192971,56.408140122890472,0.7388081341981888,52.346559524536133,0.73580425977706909,53.198785901069641,0.72761627137660978,54.865151107311249,0.7227228591839473,55.491065382957458,0.7088178197542826,59.117274284362793,0.70397286216417954,59.82011604309082,0.6984496057033539,61.064826965332031,0.69907945295174911,62.478319823741913,0.69985464711984002,60.923704743385315
20180419_00:47:18,80,185.96284008026123,0.73609495759010313,52.566674292087555,0.74428294499715164,50.143231749534607,0.75106589198112483,49.586650252342224,0.74316860238711036,51.998557567596436,0.74035852452119189,51.702528178691864,0.73556200961271923,53.873304843902588,0.72005813320477807,56.930637061595917,0.71753875116507215,58.112198829650879,0.71729650596777594,57.984224319458008,0.71579456528027852,57.9289670586586
