DateTime:,20180418_18:49:22

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
20641,60,344,1
Control,Long
win_size,30
stride,30
start_time,1,2,3,4,5,6,7,8,9,10

Time,Epoch #,Epoch Time,Train Accuracy1,Train Cost1,Train Accuracy2,Train Cost2,Train Accuracy3,Train Cost3,Train Accuracy4,Train Cost4,Train Accuracy5,Train Cost5,Train Accuracy6,Train Cost6,Train Accuracy7,Train Cost7,Train Accuracy8,Train Cost8,Train Accuracy9,Train Cost9,Train Accuracy10,Train Cost10
20180418_19:04:46,0,308.32829689979553,0.11540697664022445,344.27304458618164,0.12093023350462317,461.23011589050293,0.10358527153730393,510.74639177322388,0.11390503887087107,521.42081069946289,0.11007751900081833,552.91732358932495,0.10290697622889032,594.13246488571167,0.10155038779291013,607.68095397949219,0.099757752831404409,619.22994518280029,0.098691861432356143,644.15419864654541,0.095930232775087151,706.72005176544189
Test Accuracy :,0.2948952400856889,0.31987042165212393,0.30550185485135062,0.31281676158628979,0.30764407753801137,0.30059041747217724,0.2840273786509222,0.28036992528345261,0.29045404671090441,0.27519724123517425
20180418_20:32:09,10,226.2836549282074,0.54781977434953055,96.149417877197266,0.57199612259864807,94.48096764087677,0.56976744135220847,95.461310505867004,0.56259689927101131,98.9443519115448,0.55687984824180603,102.34695029258728,0.54442830383777618,104.20980155467987,0.54316861232121783,106.90807914733887,0.53561047216256463,109.07566201686859,0.52519380698601403,113.09498286247253,0.51327519863843918,117.59540569782257
20180418_21:09:25,20,223.12826299667358,0.6434108585119247,72.45545494556427,0.65353682835896809,71.642439842224121,0.64670543372631073,73.572879493236542,0.64132752617200217,77.147287487983704,0.62771318058172865,79.046675443649292,0.62795542677243554,79.186354041099548,0.62020348608493803,81.376662492752075,0.61094960669676468,83.688716530799866,0.60213177402814233,87.150095343589783,0.59874030550320945,88.161425828933716
20180418_21:46:55,30,260.5125160217285,0.69074611961841581,60.229062020778656,0.70600774784882858,59.365481972694397,0.69762596686681111,61.085738778114319,0.67776163121064503,67.484343349933624,0.67868217825889587,66.427461326122284,0.6680717140436172,68.528884947299957,0.66245155930519106,71.128213882446289,0.65358527898788454,72.619765639305115,0.64486434757709499,74.857666969299316,0.65218023757139842,74.662366926670074
20180418_22:48:50,40,435.3931632041931,0.71468022366364792,55.722648561000824,0.73110464413960774,52.900420188903809,0.7296027054389318,53.63307774066925,0.71099805335203803,58.008315622806549,0.70489340027173364,59.98372209072113,0.70193797945976255,60.696352422237396,0.68594961265722909,64.183258295059204,0.6886143406232198,64.336699187755585,0.68120155135790506,66.161639988422394,0.67698643704255423,66.229655146598816
20180419_00:05:28,50,487.0905690193176,0.74515503644943237,49.502942860126495,0.75755814214547479,47.788432717323303,0.74651162624359135,50.686937868595123,0.74360464811325078,50.806468307971954,0.72766472101211543,53.888383150100708,0.71933138569196065,56.555929362773895,0.72645348012447353,55.450518310070038,0.70954456329345705,58.812931001186371,0.6978682140509288,61.506490767002106,0.7029069691896439,61.059960842132568
20180419_01:29:56,60,540.0905320644379,0.77088178992271428,43.843937635421753,0.77640504837036128,43.406773149967194,0.7706395417451859,44.863630294799805,0.76133721470832827,47.121246516704559,0.74806201457977295,49.593392431735992,0.74874030947685244,51.019563376903534,0.73783914347489676,52.343362092971802,0.74006782472133636,51.818669974803925,0.72209301789601643,55.360712051391602,0.71710270146528876,56.996454000473022
20180419_02:58:37,70,507.8645050525665,0.79108527799447381,39.70588207244873,0.80053295294443771,38.274537205696106,0.78672481477260592,41.777813374996185,0.7795058230559031,42.534367263317108,0.7725290765364965,44.269656121730804,0.75595930516719823,48.414035260677338,0.75193798542022705,48.904722511768341,0.74617247879505155,50.299960017204285,0.73837209045886998,52.205862045288086,0.74181201159954069,51.68171888589859
20180419_04:23:54,80,508.3418629169464,0.80227713882923124,37.591134518384933,0.80547481079896288,37.122261017560959,0.79563954671223958,39.077895700931549,0.79302326341470086,40.674372911453247,0.78556202848752343,42.081510186195374,0.77490310768286386,43.949273705482483,0.7659399310747782,45.437417566776276,0.76661822299162552,45.618817389011383,0.75586240589618681,47.982626259326935,0.75392442047595976,48.980256974697113
20180419_05:50:28,90,524.2362570762634,0.81385659078756967,34.875447243452072,0.82180232107639317,33.791636198759079,0.81724805732568107,34.531772762537003,0.81124031047026313,36.539747536182404,0.7992248107989629,39.035701781511307,0.79152132670084641,40.817367851734161,0.78309109508991237,42.028147280216217,0.77969962358474731,43.236986696720123,0.77548450529575352,43.482485055923462,0.76497093637784319,46.158054947853088
20180419_07:18:21,100,548.9943959712982,0.82596898873647051,32.570569157600403,0.83890502452850346,29.984723448753357,0.82451549470424657,33.250273555517197,0.81632751723130548,35.393982499837875,0.80503875911235812,37.325306802988052,0.79844962060451508,38.699770659208298,0.78943799535433457,40.319348931312561,0.7879360596338908,41.307497620582581,0.78372093836466472,42.483156681060791,0.77781008581320443,43.583612143993378
Test Accuracy :,0.64334604733789647,0.64726474737447093,0.64501802602016822,0.64527927268927321,0.64360729400700145,0.64679450337008204,0.63206019123256174,0.63394116725011751,0.63002246721354305,0.6375986206175871
20180419_09:35:50,110,524.402645111084,0.83798448741436005,30.293974846601486,0.85019378761450448,28.388789594173431,0.83934107224146526,30.711660176515579,0.83018409808476767,31.941018730401993,0.81574612061182661,35.196435660123825,0.8155523200829824,35.782386660575867,0.80494186878204343,38.104614615440369,0.80116279522577927,38.520795702934265,0.78948644002278645,41.075620412826538,0.78619186977545419,40.544443726539612
20180419_10:50:03,120,373.3678879737854,0.85755813221136734,26.244840860366821,0.85847867429256441,26.313482910394669,0.84617247084776559,28.474372565746307,0.84219959974288938,30.225327759981155,0.83018409609794619,32.360651075839996,0.82499999602635699,33.489242523908615,0.80726744631926217,36.699958801269531,0.81114341119925182,35.843843162059784,0.8042151232560476,38.078036367893219,0.80019380251566574,38.487537384033203
20180419_12:11:34,130,468.39742398262024,0.86293604075908659,25.509925484657288,0.86778100430965421,24.423233926296234,0.857606581846873,26.377708226442337,0.84922479589780175,28.38475900888443,0.8443798353274663,29.819868534803391,0.83391471902529402,31.821915537118912,0.81986433764298761,34.422351151704788,0.81899223923683162,34.432259082794189,0.81288759311040237,35.893876254558563,0.80620155334472654,37.766412556171417
20180419_13:37:30,140,554.37602186203,0.87049418389797206,23.993594020605087,0.87781007885932927,22.294767111539841,0.86894379556179047,23.908841907978058,0.85145347913106284,27.515240132808685,0.84927324453989661,28.294425487518311,0.84379843473434446,30.232806652784348,0.83129844367504124,31.885633647441864,0.83333332439263663,31.435525059700012,0.82102712591489158,34.117658734321594,0.81472868025302891,35.747636705636978
20180419_15:01:49,150,478.53983187675476,0.87301356593767798,23.544081300497055,0.88624031543731685,20.732241839170456,0.87141472697257993,24.23738506436348,0.86666666269302373,24.854942560195923,0.85736433267593382,27.119296729564667,0.84670541584491732,29.026635438203812,0.83851743042469029,30.906490206718445,0.83774223923683167,30.395425319671631,0.82761626938978827,32.642112553119659,0.82063952982425692,35.240745395421982
20180419_16:25:23,160,519.5165929794312,0.88842054903507228,20.51158432662487,0.89113372862339024,19.820928543806076,0.87684108614921574,22.675611138343811,0.87325581312179568,23.719011843204498,0.86511627435684202,25.340504437685013,0.85954456627368925,26.368527293205261,0.84452518324057257,29.122304320335388,0.84132750630378728,29.778622716665268,0.8359496007363002,31.093415886163712,0.82688952585061393,32.960022211074829
20180419_17:44:51,170,477.67178106307983,0.88803295195102694,20.138031154870987,0.89515504837036131,19.275211066007614,0.88105620443820953,21.47895373404026,0.87897287011146541,21.940587475895882,0.86928294301033016,24.425154089927673,0.86099805533885954,26.691540330648422,0.85465115408102676,27.650772333145142,0.85465115308761597,27.285253793001175,0.84350773890813191,29.213912218809128,0.84215114911397293,29.690951198339462
20180419_19:10:52,180,531.6909148693085,0.89767442941665654,18.538330912590027,0.89883721967538199,18.071799591183662,0.89375000894069667,19.410672307014465,0.88425388038158415,21.846936210989952,0.87291666567325588,23.83270788192749,0.86739340821901956,24.544198304414749,0.85770348012447362,26.420061528682709,0.85813952684402461,26.589271396398544,0.84941859443982437,28.472064644098282,0.84321704407533005,30.312704533338547
20180419_20:38:12,190,533.1865990161896,0.90712210834026341,16.679609000682831,0.90721900363763175,16.61415758728981,0.89801357686519623,18.872179120779037,0.88885659575462339,20.388568833470345,0.88129845261573792,21.835205882787704,0.87645348906517029,23.348991885781288,0.86472867727279668,25.086609244346619,0.86739340722560887,25.030148804187775,0.85116278429826098,27.497813194990158,0.84907944699128468,27.953841507434845
20180419_22:06:15,200,535.4311091899872,0.91109497547149654,15.861855030059814,0.91220931609471634,15.944699347019196,0.90397288103898366,17.644425392150879,0.89922481775283813,19.08285428583622,0.88900194466114046,20.402083784341812,0.87921511828899379,22.306794852018356,0.86749030649662018,24.954904764890671,0.87030038535594945,24.676123648881912,0.86414728164672849,25.33062532544136,0.85096898277600608,27.946235567331314
