DateTime:,20180420_18:09:49

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
20641,60,344,1
Control,Long
win_size,180
stride,120
start_time,1,2,3,4,5,6,7,8,9,10

Time,Epoch #,Epoch Time,Train Accuracy1,Train Cost1,Train Accuracy2,Train Cost2,Train Accuracy3,Train Cost3,Train Accuracy4,Train Cost4,Train Accuracy5,Train Cost5,Train Accuracy6,Train Cost6,Train Accuracy7,Train Cost7,Train Accuracy8,Train Cost8,Train Accuracy9,Train Cost9,Train Accuracy10,Train Cost10
20180420_18:25:16,0,401.0762438774109,0.035416666752037904,603.67419242858887,0.061676356801763178,631.41475200653076,0.062160853032643598,637.47510099411011,0.057315891996646919,658.21726846694946,0.069767442469795549,647.65393972396851,0.060658914688974622,662.73894882202148,0.066182171072190002,680.93361473083496,0.061773256150384745,689.57589244842529,0.070106589359541741,676.69023895263672,0.064825581324597203,676.73208951950073
Test Accuracy :,0.10554365431840744,0.18673911907623178,0.1798944563456816,0.17749098698991589,0.18266367103819425,0.20105543654318409,0.20466064057683264,0.17550551230471811,0.17325879095041538,0.20403364857098072
20180420_20:21:50,10,320.1001958847046,0.37877906908591591,136.72550630569458,0.45290697713692984,119.83547353744507,0.46119186182816824,117.82152771949768,0.45159883697827657,119.95584225654602,0.44312015424172085,123.64193999767303,0.45227713187535606,121.51500332355499,0.44685077667236328,122.25032770633698,0.43720930268367131,124.91548442840576,0.43149224668741226,126.59431040287018,0.4329941853880882,126.5520007610321
20180420_21:14:55,20,320.6787769794464,0.48614341119925181,109.04814827442169,0.54040698111057284,97.840931534767151,0.53633721520503364,99.769726157188416,0.53425388336181645,98.573608994483948,0.53071706195672352,99.874099850654602,0.52800388336181636,101.98864769935608,0.5165213237206141,104.36406588554382,0.51327519963184998,105.08919441699982,0.50935078064600625,106.60981130599976,0.49820736696322759,108.69600403308868
20180420_22:07:56,30,317.0035309791565,0.53769380748271944,96.867281079292297,0.57490309576193488,87.806640625,0.57771317164103186,88.710463762283325,0.57616278330485027,90.673580765724182,0.56865309874216718,92.232856631278992,0.56375969052314756,94.534814476966858,0.56085270941257481,93.706069231033325,0.55644379854202275,95.134654402732849,0.54500969648361208,97.947494506835938,0.53842054456472399,98.14927339553833
20180420_23:00:47,40,317.70972204208374,0.57175386746724444,89.012845396995544,0.60586239496866867,81.680389285087585,0.59883720179398858,84.308722615242004,0.60314922034740448,83.099364042282104,0.59757751226425171,85.188813447952271,0.59365309576193492,86.398929715156555,0.58716084758440656,88.131359219551086,0.58047479887803399,89.355723738670349,0.56860465010007222,91.798900127410889,0.57853681643803911,90.83258593082428
20180420_23:53:07,50,313.3174650669098,0.59035852452119186,84.117737889289856,0.62742248276869461,77.29725456237793,0.62747093141078947,77.545297861099243,0.61472867826620736,79.935235261917114,0.61632751723130541,80.964960813522339,0.61167635122934982,81.931264281272888,0.60411821107069652,84.887270092964172,0.60440891087055204,83.568460464477539,0.59408913950125375,86.333586931228638,0.58977712889512379,87.804292559623718
20180421_00:45:15,60,310.82707691192627,0.61346898873647049,80.210308074951172,0.65266473790009816,71.630461096763611,0.64278101325035097,73.887386083602905,0.64190892080465956,74.548222303390503,0.63275194068749741,76.927206039428711,0.62732558151086171,79.017244219779968,0.62083333233992255,81.045629382133484,0.62325581312179568,79.187429904937744,0.61327518920103707,81.917320609092712,0.61167635222276051,82.150164365768433
20180421_01:36:58,70,315.7429060935974,0.63716085652510324,72.947417020797729,0.66468024055163066,68.298610329627991,0.65668605466683705,70.757921814918518,0.65247093737125395,71.023528218269348,0.65532946487267807,72.107505321502686,0.64287791252136228,75.073385119438171,0.64171512325604751,74.873662710189819,0.64331395626068111,74.758052706718445,0.63275194068749741,77.937195777893066,0.62529069781303404,78.925028920173645
20180421_02:15:37,80,216.84181594848633,0.65523256560166676,70.131740093231201,0.67887597282727563,65.432388305664062,0.67063954174518581,68.123877227306366,0.66443799336751297,68.955143630504608,0.66245155632495878,70.681730449199677,0.65770349800586703,71.664400994777679,0.65135659774144494,73.096118569374084,0.64549419383207962,73.775702238082886,0.64268411199251807,74.492595434188843,0.64597869018713638,74.944768667221069
20180421_02:56:46,90,315.9305238723755,0.66928294897079466,66.137079417705536,0.68885658780733749,63.576562702655792,0.68861433863639832,63.745078682899475,0.67916667262713115,65.94297456741333,0.67902132074038191,66.007571637630463,0.67616279820601144,67.610705852508545,0.66545543173948929,69.507741868495941,0.66288760304450989,70.918817281723022,0.65479651987552645,72.585471928119659,0.65741279919942219,71.772534847259521
20180421_03:49:45,100,311.02316784858704,0.67572674751281736,65.000007271766663,0.69471899469693499,61.530618071556091,0.70004844168821967,61.227749943733215,0.6968507746855418,62.87244439125061,0.68672481079896286,64.783425033092499,0.68129844963550568,66.564915657043457,0.6828003903230031,66.599400103092194,0.67301356891791031,68.050149261951447,0.66579458117485046,70.100417792797089,0.66778101722399397,69.326514303684235
Test Accuracy :,0.6545796541094101,0.65181043941689742,0.66518626887507182,0.65086995140811954,0.64209206332619262,0.64141282198651972,0.63660588327498824,0.64151732065416167,0.63754637128376612,0.64141282198651972
20180421_05:50:25,110,325.1194019317627,0.68706395427385969,62.212584972381592,0.70809107919534042,58.965874493122101,0.70566859642664592,60.352283716201782,0.70033913950125382,60.68588525056839,0.69568798045317337,63.367561340332031,0.69612402617931368,62.016476929187775,0.68178295195102689,66.543828725814819,0.67819767793019614,66.029653310775757,0.67417636613051102,67.59824126958847,0.6746608595053355,67.179435014724731
20180421_06:42:37,120,311.30976390838623,0.70649223824342089,58.694983065128326,0.72524224023024242,55.334435045719147,0.7115794499715169,58.419186413288116,0.7085755745569865,58.86281430721283,0.70906007289886475,59.392389059066772,0.70707363883654273,60.506996333599091,0.69563952883084612,62.25561535358429,0.69302325447400415,63.507475733757019,0.69689922432104745,62.46791797876358,0.68851743737856552,64.309545397758484
20180421_07:34:50,130,315.44776606559753,0.71138565242290497,56.921486794948578,0.72688952883084612,54.548584401607513,0.72616278231143949,55.124186396598816,0.716133713722229,56.791536867618561,0.72650192975997929,55.896457433700562,0.71051355600357058,59.220061838626862,0.7069282859563828,59.952791512012482,0.6945251911878586,62.702160894870758,0.69878875712553656,62.097787737846375,0.69675387144088741,62.339527249336243
20180421_08:27:17,140,313.89337611198425,0.72306200563907619,54.772092878818512,0.73643410404523213,52.850248754024506,0.73938953280448916,52.4407057762146,0.73018410007158918,54.30076539516449,0.73280038237571721,54.259865760803223,0.71894379158814747,57.386605441570282,0.71981588602066038,57.698817849159241,0.70896316866079967,59.696629583835602,0.70145348310470579,61.724561512470245,0.71070735653241479,60.020121097564697
20180421_09:19:39,150,312.968425989151,0.73255813121795654,52.38201242685318,0.74050387541453044,50.482661485671997,0.74132751723130541,52.182273626327515,0.73982557853062947,51.949686169624329,0.72630813221136725,55.126320242881775,0.7327034821112951,54.438941419124603,0.72475774486859634,55.968115866184235,0.71220929523309073,58.509292781352997,0.71429262558619178,58.442253947257996,0.71201549669106801,58.380155444145203
20180421_10:11:55,160,313.4314589500427,0.73749999503294628,51.64702695608139,0.75828488667805993,48.284851312637329,0.75208333432674412,49.81627744436264,0.74675387541453042,50.739514768123627,0.74278100530306501,52.326508522033691,0.73362402717272446,53.713313162326813,0.7331395288308461,53.89967006444931,0.72451549569765727,56.411175847053528,0.72233526209990184,56.372222244739532,0.72364340126514437,56.176991760730743
20180421_10:59:28,170,215.6626260280609,0.74268410603205359,49.642667949199677,0.77005814909935,45.672143518924713,0.76002907256285346,48.208204984664917,0.753779070576032,49.806044161319733,0.74539728562037155,51.105322480201721,0.74680232505003608,51.535277485847473,0.73624030450979872,53.997940301895142,0.73406007190545397,53.578880846500397,0.72960270742575328,54.884070575237274,0.72751937607924144,55.577244639396667
20180421_11:34:16,180,182.4352149963379,0.75523256162802377,46.997876763343811,0.76472868820031481,46.306723475456238,0.75973837574323022,47.740619838237762,0.75256783167521157,49.952170014381409,0.75595930616060891,48.115327894687653,0.75731589595476789,48.852871119976044,0.74602712889512379,51.870399236679077,0.74050387342770896,53.153555691242218,0.73449611961841588,54.044440269470215,0.73241278628508255,53.96086448431015
20180421_12:14:04,190,269.92944502830505,0.75949612756570184,47.008477389812469,0.77238372663656873,45.298917233943939,0.7707364410161972,45.867807447910309,0.77189923425515494,46.09517365694046,0.76419574320316319,48.002839624881744,0.75092054307460787,49.99482136964798,0.74970930318037665,50.637245237827301,0.74525193572044368,51.830062925815582,0.74331395129362743,52.304784774780273,0.73900193373362222,51.914624750614166
20180421_13:03:56,200,313.0285189151764,0.77068799237410224,44.558054685592651,0.78439923326174421,42.929765284061432,0.77160853544871011,44.625727891921997,0.77156008581320445,44.998388290405273,0.76923450330893195,46.409456372261047,0.76308140158653259,47.546254277229309,0.75867248376210528,47.855009317398071,0.76061047017574313,48.309560716152191,0.75024224817752838,50.057653307914734,0.74694767296314235,50.626153707504272
Test Accuracy :,0.6969538638382361,0.68587700506818539,0.68775798108574115,0.68655624640785828,0.68002507968023407,0.68180155703014789,0.6815403103610429,0.66058832749882435,0.66873922357489946,0.6604838288311824
20180421_14:58:32,210,320.3984839916229,0.784156988064448,42.490478694438934,0.78997093637784321,41.726586759090424,0.77824613253275554,43.116495370864868,0.77805233399073281,44.497319489717484,0.77223837971687315,44.77330207824707,0.76501938402652736,46.644982099533081,0.7657461285591125,47.659884512424469,0.76240310569604242,48.075295746326447,0.74660852551460266,50.860974252223969,0.75213178396224978,49.740342617034912
20180421_15:51:56,220,321.29538106918335,0.78396318753560379,42.478649139404297,0.79442829986413321,40.05144327878952,0.78745155533154809,41.418307840824127,0.78808140556017559,41.47843611240387,0.77713179389635723,44.382148265838623,0.7708333432674408,45.353394865989685,0.77873062988122299,45.020324051380157,0.76303295195102694,47.926262259483337,0.7634205470482508,46.341442823410034,0.76056201954682667,48.884337067604065
20180421_16:45:20,230,322.5236511230469,0.79152132372061412,40.601084142923355,0.8054748088121414,37.43709596991539,0.78798450728257496,41.564346194267273,0.78347869316736862,42.366368293762207,0.78808140456676479,42.008042991161346,0.77858527898788454,44.812407672405243,0.77519380748271938,44.21545085310936,0.77199613253275556,45.349563539028168,0.77160853544871011,46.781963467597961,0.76627907653649652,47.077893435955048
20180421_17:38:42,240,321.4122438430786,0.79951550960540774,39.059646368026733,0.80770349502563477,37.774398326873779,0.8063469042380651,37.901826530694962,0.79748062690099075,40.036540001630783,0.78633721669514978,42.195757329463959,0.78531977732976277,43.300873577594757,0.78531977434953049,42.31028801202774,0.78125000993410743,43.560118138790131,0.77088178892930348,45.593263506889343,0.7726259758075078,45.451534658670425
20180421_18:32:13,250,321.89883685112,0.80697674254576368,37.232849955558777,0.81036821603775022,37.056704014539719,0.79975775678952532,38.494314163923264,0.79956395824750259,39.278403133153915,0.79287791649500527,40.921127051115036,0.78125000894069674,43.368542015552521,0.78788760801156366,42.350020408630371,0.78163760602474208,43.1840740442276,0.77698644598325095,44.939076244831085,0.77209303279717767,45.175744593143463
