DateTime:,20180418_19:14:31

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
20641,60,344,1
Control,Long
win_size,60
stride,60
start_time,1,2,3,4,5,6,7,8,9,10

Time,Epoch #,Epoch Time,Train Accuracy1,Train Cost1,Train Accuracy2,Train Cost2,Train Accuracy3,Train Cost3,Train Accuracy4,Train Cost4,Train Accuracy5,Train Cost5,Train Accuracy6,Train Cost6,Train Accuracy7,Train Cost7,Train Accuracy8,Train Cost8,Train Accuracy9,Train Cost9,Train Accuracy10,Train Cost10
20180418_19:27:38,0,258.90947103500366,0.097674419467026985,372.69886112213135,0.1271802324646463,429.68035984039307,0.13076550383120775,435.97529077529907,0.12664728715705376,457.1383957862854,0.12751937935439248,480.26131153106689,0.1290697671783467,485.16820335388184,0.11642441828735173,534.55679941177368,0.13008720904278259,510.08588933944702,0.11797480660801132,530.70911359786987,0.11957364310510457,541.73406934738159
Test Accuracy :,0.2540362610376718,0.30832331887768433,0.32274413501227861,0.31960917498301894,0.31151052824076492,0.30518835884842466,0.28434087465384816,0.28204190396572443,0.30952505355556714,0.29390250274309004
20180418_20:44:31,10,179.14245510101318,0.50750969300667448,106.81888139247894,0.53837209641933437,101.97077703475952,0.54457364976406097,101.44003367424011,0.53895349403222403,103.54492962360382,0.53100775629281993,104.96004331111908,0.52785853693882623,106.62037980556488,0.51831396122773488,109.20453238487244,0.51346899767716725,110.39621317386627,0.51317829936742787,110.47137057781219,0.50721899569034579,114.41093099117279
20180418_21:14:27,20,180.10638213157654,0.59166666070620222,84.330553293228149,0.62335271437962847,78.25028395652771,0.61904069582621257,79.54504406452179,0.61453488270441692,82.470555782318115,0.60775193373362224,83.724613308906555,0.60092054009437557,86.211868524551392,0.60053293605645497,84.630005359649658,0.58512596388657889,89.030668973922729,0.58735464215278621,88.805773854255676,0.58212208350499473,90.641721725463867
20180418_21:44:14,30,178.13271188735962,0.64733527898788457,71.026744961738586,0.67277132670084638,67.147318959236145,0.65784884790579479,69.998496413230896,0.66182171503702802,70.755990564823151,0.65033915340900417,72.058702230453491,0.63754845261573789,76.222571790218353,0.63464147448539732,77.116936862468719,0.62674418588479364,78.905147194862366,0.63183139661947885,77.830354571342468,0.62490310072898869,79.296520471572876
20180418_22:14:04,40,179.03950309753418,0.68226744631926217,63.261022865772247,0.70033913950125382,60.365417063236237,0.69515503446261084,62.215568661689758,0.68817829191684721,63.695055365562439,0.68672480881214137,64.61190128326416,0.66870155731836955,68.419958174228668,0.66937985122203825,68.805813550949097,0.66041667362054191,70.682089149951935,0.65717054903507233,70.527237951755524,0.6630814025799433,70.113839328289032
20180418_22:43:59,50,180.80867385864258,0.7052325526873271,58.757249772548676,0.7258236348628998,54.541044354438782,0.71690890491008763,56.784576833248138,0.71535851657390592,57.669259965419769,0.69980619748433426,60.251619875431061,0.69365310172239936,62.073210060596466,0.69496123790740971,62.420928835868835,0.6882751941680908,64.165020883083344,0.67766473193963372,66.747117519378662,0.67412790954113011,65.902677655220032
20180418_23:13:59,60,180.33762311935425,0.72257751524448399,54.835464775562286,0.74820736447970071,49.434297621250153,0.73124999105930333,53.466159641742706,0.72955425779024763,54.520980358123779,0.71831394632657364,56.115763127803802,0.70813953081766767,59.181006252765656,0.71317828893661495,58.217081487178802,0.70111433366934461,60.115334928035736,0.70411820709705353,60.104404389858246,0.70678293704986572,59.862267315387726
20180418_23:44:04,70,179.79795598983765,0.74336240092913308,50.691433846950531,0.76860465904076891,45.388152003288269,0.75193798542022705,49.086175858974457,0.75256783068180089,49.083993494510651,0.74384689728418985,51.299588203430176,0.73260658284028368,53.06318187713623,0.72984495361646018,54.165532767772675,0.72281975944836929,56.062930941581726,0.71443797449270885,57.937641680240631,0.71613371272881821,58.085808098316193
20180419_00:14:06,80,179.73269701004028,0.75566860636075339,46.61993420124054,0.77572675247987111,42.90889835357666,0.7627422541379929,46.136331081390381,0.76022287209828698,46.65679931640625,0.75537790954113004,49.086803317070007,0.73822673857212062,52.125868439674377,0.7427810062964757,51.622558414936066,0.74161821504433945,50.81468665599823,0.72596898476282756,54.601891815662384,0.72994185487429297,55.00651741027832
