DateTime:,20180418_19:54:48

Total Dataset Length,Train Batch Divider,Train Batch Size,Eval Batch Size
20641,60,344,1
Control,Long
win_size,120
stride,60
start_time,1,2,3,4,5,6,7,8,9,10

Time,Epoch #,Epoch Time,Train Accuracy1,Train Cost1,Train Accuracy2,Train Cost2,Train Accuracy3,Train Cost3,Train Accuracy4,Train Cost4,Train Accuracy5,Train Cost5,Train Accuracy6,Train Cost6,Train Accuracy7,Train Cost7,Train Accuracy8,Train Cost8,Train Accuracy9,Train Cost9,Train Accuracy10,Train Cost10
20180418_20:13:21,0,344.58798694610596,0.053682170746227102,544.75156307220459,0.087790697642291582,595.71890258789062,0.084399224181349083,616.65103340148926,0.085852713510394099,627.43120718002319,0.089825581386685366,634.37585306167603,0.090891473616162941,634.19868516921997,0.08779069724647949,652.96204900741577,0.082025194292267165,675.61879301071167,0.082558139646425846,705.02565574645996,0.085077520118405428,692.24262428283691
Test Accuracy :,0.1494853440618632,0.25748471706985737,0.2378912168869847,0.24123517425152829,0.26009718376090707,0.23810021422226865,0.22273891007889648,0.25492449971262865,0.23329327551073722,0.20591462458853649
20180418_21:56:02,10,294.567342042923,0.42485465308030446,139.85491418838501,0.49210271537303923,121.79144811630249,0.49539728959401447,123.26927196979523,0.4819767450292905,125.61388921737671,0.49626938402652743,123.40645492076874,0.48086240341265996,127.27167940139771,0.47393411000569663,130.5075489282608,0.47306201756000521,131.93106317520142,0.47243217180172603,132.71957862377167,0.46560077518224718,134.22175979614258
20180418_23:02:45,20,444.036906003952,0.5280523285269737,100.39371085166931,0.58609494964281716,88.676103234291077,0.58691859841346739,89.861793875694275,0.58217053512732186,90.825584650039673,0.57969960570335388,90.920479416847229,0.57572673757870996,92.070238351821899,0.57252906560897832,94.114423871040344,0.56395349005858109,95.362580180168152,0.56497093041737878,96.068325638771057,0.56283914744853969,95.825856924057007
20180419_00:21:32,30,506.9398338794708,0.58391472597916916,86.694157838821411,0.64069768190383913,74.898135662078857,0.63478682537873587,77.767915487289429,0.6329941878716151,77.605456113815308,0.6230135649442673,79.359632134437561,0.61874999900658922,81.734184980392456,0.61816860238711036,82.653899312019348,0.60697673857212064,83.884024858474731,0.60101743241151173,85.730253338813782,0.59738371570905047,84.937172055244446
20180419_01:46:42,40,532.0710008144379,0.62916666964689894,76.394533157348633,0.66182171503702802,69.383154690265656,0.6663275251785914,69.877999484539032,0.65644380350907638,71.80916839838028,0.66056202153364818,71.323789000511169,0.64525194366772964,74.646257519721985,0.6439922511577606,75.515327930450439,0.64011628528436026,75.520663142204285,0.63144379854202271,78.22712230682373,0.63037790854771936,77.702513694763184
20180419_03:13:30,50,505.2239639759064,0.65867248674233758,69.133069336414337,0.69108527402083075,63.7477126121521,0.68754845162232714,64.359347820281982,0.6804748088121414,66.591595947742462,0.67814922928810117,67.744243562221527,0.67374031047026317,68.480685174465179,0.66274225513140361,70.385635495185852,0.65780039628346765,71.904049217700958,0.66225775678952536,70.591731309890747,0.64806201954682663,74.04405802488327
20180419_04:38:37,60,511.9863851070404,0.67810077667236324,63.961005210876465,0.71031976143519082,59.425607264041901,0.70043604473272958,61.767218589782715,0.69583332836627965,62.671617567539215,0.69365309774875639,63.627056956291199,0.69205426176389062,64.251585841178894,0.68386628131071725,65.643446862697601,0.68149225115776058,67.501083195209503,0.67374031543731694,68.164358496665955,0.67470930616060898,67.839645683765411
20180419_06:05:28,70,529.5362269878387,0.68498062392075854,63.216893792152405,0.71802325248718257,56.58209627866745,0.71797479987144475,57.650518953800201,0.71031975944836934,59.080116271972656,0.71012596289316809,60.0825434923172,0.70600774784882858,60.665671348571777,0.70062984327475231,62.535724699497223,0.68948643406232202,63.612943172454834,0.69457363982995346,63.392569303512573,0.68667636017004652,64.992456078529358
20180419_07:33:27,80,555.9086728096008,0.70668604175249738,58.28715705871582,0.74287790358066563,52.552387714385986,0.72911821206410721,54.911054313182831,0.72538759112358098,56.094112992286682,0.71865309278170264,56.897432863712311,0.71593991319338479,57.808117568492889,0.71012596289316809,59.745630204677582,0.70547479689121251,60.695135295391083,0.70285852054754894,60.862596213817596,0.69447674155235295,62.63907390832901
20180419_09:00:45,90,502.93306589126587,0.7221414665381114,54.624744474887848,0.75436046520868938,49.367261946201324,0.74990310072898869,50.513272702693939,0.74103681941827138,52.470198512077332,0.73134689430395761,54.479747653007507,0.73032944897810614,54.848609149456024,0.73129844168821967,55.23751300573349,0.71264533897240956,58.437044084072113,0.71763564944267277,58.848397552967072,0.71322673459847763,58.265258967876434
20180419_10:28:19,100,530.856917142868,0.73352712591489155,52.919942617416382,0.76312985022862756,47.225802659988403,0.75484496355056763,48.356663167476654,0.75339147349198654,50.332456886768341,0.745881782968839,51.126582384109497,0.74573643406232193,53.053376138210297,0.73677325050036113,53.992035150527954,0.72950580815474197,55.641488313674927,0.7271317770083745,56.238166034221649,0.72572673757870987,57.123531341552734
Test Accuracy :,0.67046345159099219,0.67365066095407289,0.6627305501854851,0.67803960499503635,0.6598045874915095,0.67271017294529489,0.66408903286483101,0.65776686347249069,0.65917759548565757,0.63253043523695074
